,comp,comp_id,date,guest_points,guest_result,guest_team,guest_team_short,home_points,home_result,home_team,home_team_short,host,league,site,time,weapon,winner
42,7,LG2.BuLi Ost2G,12.11.2017,0,0,PSSG zu Dresden e.V.,PSSG zu Dresden e.V.,0,0,PSV Olympia Berlin,PSV Olympia Berlin,SV Gölzau,2.BuLi Ost,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=2&wettkampf=2,15.00 Uhr,Luftgewehr,guest
43,8,LG2.BuLi Ost2H,12.11.2017,0,0,SGI.-Löbejün e.V.,SGI.-Löbejün e.V.,0,0,Schützengilde zu Jüterbog e.V.,Schützengilde zu Jüterbog e.V.,SV Gölzau,2.BuLi Ost,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=2&wettkampf=2,15.00 Uhr,Luftgewehr,guest
44,1,LG2.BuLi Ost3A,10.12.2017,0,0,SV Bötzow,SV Bötzow,0,0,PSSG zu Dresden e.V.,PSSG zu Dresden e.V.,PSV Olympia Berlin,2.BuLi Ost,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=2&wettkampf=3,10.30 Uhr,Luftgewehr,guest
45,2,LG2.BuLi Ost3B,10.12.2017,0,0,Schützengilde zu Jüterbog e.V.,Schützengilde zu Jüterbog e.V.,0,0,SV Gölzau II,SV Gölzau II,PSV Olympia Berlin,2.BuLi Ost,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=2&wettkampf=3,10.30 Uhr,Luftgewehr,guest
46,3,LG2.BuLi Ost3C,10.12.2017,0,0,Schützengilde Deutschenbora,Schützengilde Deutschenbora,0,0,SGI.-Löbejün e.V.,SGI.-Löbejün e.V.,PSV Olympia Berlin,2.BuLi Ost,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=2&wettkampf=3,13.10 Uhr,Luftgewehr,guest
47,4,LG2.BuLi Ost3D,10.12.2017,0,0,Giebichensteiner SGI.-Halle,Giebichensteiner SGI.-Halle,0,0,PSV Olympia Berlin,PSV Olympia Berlin,PSV Olympia Berlin,2.BuLi Ost,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=2&wettkampf=3,13.10 Uhr,Luftgewehr,guest
48,1,LG2.BuLi Ost4A,14.01.2018,0,0,SV Bötzow,SV Bötzow,0,0,Schützengilde Deutschenbora,Schützengilde Deutschenbora,Schützengilde Frankfurt/Oder 1406,2.BuLi Ost,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=2&wettkampf=4,10.30 Uhr,Luftgewehr,guest
49,2,LG2.BuLi Ost4B,14.01.2018,0,0,SV Gölzau II,SV Gölzau II,0,0,Giebichensteiner SGI.-Halle,Giebichensteiner SGI.-Halle,Schützengilde Frankfurt/Oder 1406,2.BuLi Ost,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=2&wettkampf=4,10.30 Uhr,Luftgewehr,guest
50,3,LG2.BuLi Ost4C,14.01.2018,0,0,PSSG zu Dresden e.V.,PSSG zu Dresden e.V.,0,0,SGI.-Löbejün e.V.,SGI.-Löbejün e.V.,Schützengilde Frankfurt/Oder 1406,2.BuLi Ost,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=2&wettkampf=4,10.30 Uhr,Luftgewehr,guest
51,4,LG2.BuLi Ost4D,14.01.2018,0,0,Schützengilde zu Jüterbog e.V.,Schützengilde zu Jüterbog e.V.,0,0,PSV Olympia Berlin,PSV Olympia Berlin,Schützengilde Frankfurt/Oder 1406,2.BuLi Ost,http://bundesliga.dsb.de/?page_id=231&waffe=1&liga=2&wettkampf=4,10.30 Uhr,Luftgewehr,guest
