,first_name,home,id,last_name,point,position,result,shoot_off,team_full
129,Katja,False,LP2.BuLi Nord1B,Kutzeck,0,5,358, ,"('SP Brackstedt',)"
130,Mandy,True,LP2.BuLi Nord1B,Horn,0,1,365, ,"('SV Stoppelmarkt',)"
131,Christoph,False,LP2.BuLi Nord1B,Varnhorn,1,1,375, ,"('SV Haendorf',)"
132,Rita,True,LP2.BuLi Nord1B,Müller,0,2,354, ,"('SV Stoppelmarkt',)"
133,Jens,False,LP2.BuLi Nord1B,Frieling,1,2,371, ,"('SV Haendorf',)"
134,Alexandra,True,LP2.BuLi Nord1B,Rolfes,0,3,361, ,"('SV Stoppelmarkt',)"
135,Stefan,False,LP2.BuLi Nord1B,Pabstmann,1,3,365, ,"('SV Haendorf',)"
136,Reinhard,True,LP2.BuLi Nord1B,Tönjes,0,4,345, ,"('SV Stoppelmarkt',)"
137,Timon,False,LP2.BuLi Nord1B,Cordes,1,4,373, ,"('SV Haendorf',)"
138,Tobias,True,LP2.BuLi Nord1B,Schierholt,1,5,378, ,"('SV Stoppelmarkt',)"
139,Marc,False,LP2.BuLi Nord1B,Bonne,0,5,373, ,"('SV Haendorf',)"
140,Meik,True,LP2.BuLi Nord1B,Kutzeck,0,1,340, ,"('SP Brackstedt',)"
141,Christoph,False,LP2.BuLi Nord1B,Varnhorn,1,1,371, ,"('SV Haendorf',)"
142,Isabel,True,LP2.BuLi Nord1B,Kausch,1,2,366, ,"('SP Brackstedt',)"
143,Jens,False,LP2.BuLi Nord1B,Frieling,0,2,363, ,"('SV Haendorf',)"
144,Patrick,True,LP2.BuLi Nord1B,Samse,0,3,352, ,"('SP Brackstedt',)"
145,Stefan,False,LP2.BuLi Nord1B,Pabstmann,1,3,364, ,"('SV Haendorf',)"
146,Katja,True,LP2.BuLi Nord1B,Broich,0,4,358, ,"('SP Brackstedt',)"
147,Timon,False,LP2.BuLi Nord1B,Cordes,1,4,363, ,"('SV Haendorf',)"
148,Katja,True,LP2.BuLi Nord1B,Kutzeck,0,5,355, ,"('SP Brackstedt',)"
149,Marc,False,LP2.BuLi Nord1B,Bonne,1,5,365, ,"('SV Haendorf',)"
150,Frans,True,LP2.BuLi Nord1B,Soerensen,1,1,379, ,"('GTV Bremerhaven-Seestadtteufel',)"
151,Mandy,False,LP2.BuLi Nord1B,Horn,0,1,377, ,"('SV Stoppelmarkt',)"
152,Antje,True,LP2.BuLi Nord1B,Noeske,1,2,375, ,"('GTV Bremerhaven-Seestadtteufel',)"
153,Rita,False,LP2.BuLi Nord1B,Müller,0,2,359, ,"('SV Stoppelmarkt',)"
154,Theo,True,LP2.BuLi Nord1B,Hadrath,1,3,379, ,"('GTV Bremerhaven-Seestadtteufel',)"
155,Alexandra,False,LP2.BuLi Nord1B,Rolfes,0,3,364, ,"('SV Stoppelmarkt',)"
156,Jan Luca,True,LP2.BuLi Nord1B,Karstedt,1,4,375, ,"('GTV Bremerhaven-Seestadtteufel',)"
157,Thomas,False,LP2.BuLi Nord1B,Seeger,0,4,355, ,"('SV Stoppelmarkt',)"
158,Matthias,True,LP2.BuLi Nord1B,Dapprich-Crawford,0,5,369, ,"('GTV Bremerhaven-Seestadtteufel',)"
